City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
Unincorporated - Del Rey,33.98265,-118.412366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated - Del Sur,34.757167,-118.282651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,4
Unincorporated - Desert View Highlands,34.589308,-118.153561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,2,2,2,1,0,0,0,1,1,1,0,1,0,0,1,3,1,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,1,1,0,2,1,0,1,1,1,1,2,0,2
Unincorporated - Duarte,34.124147,-117.993223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,2,1,0,4,0,2,0,0,1,0,1,3,0,1,1,0,0,4,1,4,2,2,1,1,1,2,2,2,3,3,5,2,2,0,3,0,0,0,1,1,2,1,1,1,1,1,1,0,2,2,1,5,2,2,0,0,1,1,2,0,0,3,3,1,0,1,0,0,0,1,1,0,1,4,3,0,4,1,1,1,1,0,0,1,0,0,6,1,0,1,0,3,0,1,1,1,0,0,2,0,0,0,0,1,1,2,1,0,2,0,0,0,1,3,0,0,2,1,1,0,2,0,-1,2,0,0,1,1,1,0,0,0,0,-1,4,0,0,0,0,1,0,0,5,0,2,2
Unincorporated - East Covina,34.088015,-117.835411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Unincorporated - East La Mirada,33.921757,-117.983975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,0,1,1,0,1,2,1,2,0,0,4,1,4,1,1,4,1,2,2,2,2,0,2,3,2,0,2,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,1,0,4,0,0,0,1,0,0,0,2,0,0,3,0,0,1,1,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,7,1,5,0,0,0,0,1,2,3,1,1,1,0,0,0,1,1,1,2
Unincorporated - East Lancaster,34.666755,-118.000512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated - East Los Angeles,34.03227,-118.169557,1,0,0,1,2,2,1,2,3,2,7,5,12,4,7,5,8,5,6,11,5,4,7,6,8,5,6,5,34,36,25,44,26,10,1,20,14,15,12,21,8,6,4,20,5,6,15,20,2,4,11,26,13,10,12,6,6,34,47,14,21,32,19,23,80,9,22,103,95,16,19,19,19,55,49,47,26,25,30,45,76,77,51,40,22,62,78,12,35,61,44,98,53,22,49,44,58,75,77,60,35,62,0,0,166,29,91,44,28,56,71,74,62,102,61,118,62,65,56,101,55,98,23,52,95,35,58,76,99,69,83,88,31,38,41,55,98,90,57,52,54,32,49,37,59,45,20,19,19,44,24,26,28,16,28,11,23,30,27,18,35,26,10,21,26,28,20,17,14,9,7,34,31,21,12,13,5,32,19,30,24,17,18,14,30,16,33,28,25,23,20,25,20,24,15,15,9,18,39,26,19,24,22,19,23,30,27,23,29,3,32,5,3,87,51,53,9,25,43,19,21,15,27,37,34,44,32,30,44,43,47,34,35
Unincorporated - East Pasadena,34.137943,-118.076517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,2,0,0,2,6,0,0,0,-1,3,0,1,0,0,4,0,1,0,15,0,0,0,2,3,2,2,0,0,2,0,1,3,0,1,0,0,2,0,0,0,0,1,2,0,1,1,0,2,1,0,0,0,0,1,1,0,1,1,-14,16,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,1,1,2,1,1,0,0,1
Unincorporated - East Rancho Dominguez,33.893982,-118.194375,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,0,1,0,2,1,2,1,0,0,0,0,2,0,1,0,-1,0,1,1,0,1,2,2,1,0,1,1,1,1,1,1,4,2,1,1,2,8,2,2,2,2,5,2,4,6,-1,6,3,4,4,11,2,4,6,2,2,3,3,7,6,2,3,6,8,5,7,4,10,6,3,0,0,23,7,14,5,6,7,6,8,18,15,2,17,4,11,11,12,10,13,10,15,13,5,4,6,10,16,4,9,-1,4,7,7,9,6,5,2,4,4,9,4,7,7,5,1,2,11,6,4,4,0,4,3,5,1,1,4,3,4,2,5,3,1,4,3,4,2,4,4,4,6,5,3,1,2,2,1,3,0,0,1,-1,5,4,4,0,0,4,2,1,0,0,2,0,0,1,0,0,3,2,0,4,1,3,0,0,0,0,0,1,3,0,4,0,1,4,0,2,0,1,0,2,1,2,1,5,1,5,4,2
Unincorporated - East Whittier,33.927628,-117.994355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,0,0,1,7,3,0,0,0,3,1,2,1,0,1,0,5,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,2,0,1,2,2,2,0,0,1,1,3,1,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,1,1,0,1,0,2,0,0,0,1,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,1,2,0,2,0,0,0,1,0
Unincorporated - El Camino Village,33.887095,-118.335495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,2,3,0,1,0,3,4,2,1,0,2,2,4,3,0,0,5,1,3,3,1,2,0,1,0,2,0,1,1,1,0,2,1,0,0,2,0,0,2,1,0,1,1,0,0,3,0,1,0,1,0,1,2,2,5,1,0,2,1,2,1,2,2,0,-2,1,0,0,1,4,1,3,2,0,1,0,2,6,0,3,0,1,2,1,1,2,1,0,0,0,1,2,1,0,1,0,-1,0,0,2,0,0,2,0,2,1,0,1,0,0,0,0,-1,1,1,0,0,1,-1,0,1,0,1,0,0,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-1,4,0,3,2,1,0,0,2,2,0,0,1,0,4,4,3,1,1,2,1,3,1,0,0,0,0,3,2,0,0,0,0,0
Unincorporated - El Monte,34.063283,-118.060455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated - Elizabeth Lake,34.659254,-118.377441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated - Florence-Firestone,33.967507,-118.242435,0,0,0,0,0,0,0,0,0,19,4,3,3,6,1,3,3,7,8,0,1,2,6,2,3,5,5,4,12,19,10,8,12,2,5,11,10,7,9,12,14,10,2,20,13,14,13,8,2,8,9,12,10,9,9,10,10,16,24,18,20,12,16,19,37,16,9,20,30,10,11,11,14,25,18,19,11,10,25,20,19,30,34,16,34,30,30,14,16,34,24,39,28,22,35,23,25,32,54,50,19,28,0,0,79,11,60,21,18,30,31,42,31,59,20,66,46,26,33,50,34,47,18,24,58,19,42,36,84,39,33,39,30,30,23,45,31,47,36,24,25,15,29,23,28,23,11,11,12,26,14,16,25,23,21,8,19,9,19,16,9,13,10,13,6,12,-1,5,16,4,3,12,15,8,14,4,1,7,9,18,19,15,11,7,10,9,6,14,12,5,5,6,9,16,15,16,8,12,16,13,5,25,13,3,8,24,10,14,11,6,9,3,7,40,28,23,9,11,14,13,12,17,12,14,15,13,11,20,18,21,14,15,8
Unincorporated - Glendora,34.159997,-117.844191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unincorporated - Hacienda Heights,34.000117,-117.977849,0,0,0,2,0,0,0,0,3,3,4,0,1,4,2,3,1,2,2,1,2,0,3,1,0,-1,1,1,3,2,3,1,1,0,1,1,2,0,0,2,2,1,2,1,2,3,2,6,0,0,3,5,1,1,4,2,1,6,10,1,6,3,3,6,4,5,3,5,7,2,6,3,2,9,3,3,6,0,6,4,3,6,10,7,5,5,5,3,7,10,2,15,7,2,12,10,8,17,13,16,10,11,0,0,53,6,22,13,8,8,12,23,10,17,16,17,9,13,6,8,9,15,5,11,6,15,0,16,14,9,6,17,3,5,4,7,12,10,8,3,3,10,12,13,4,10,4,8,3,10,11,8,7,0,5,12,6,12,2,2,4,4,1,6,3,3,3,1,0,4,3,2,3,5,0,3,2,4,4,3,5,3,5,6,4,3,9,4,6,3,7,3,6,7,3,4,4,4,6,6,6,8,3,1,4,4,3,2,2,1,1,2,2,12,11,13,3,5,4,4,5,5,0,7,3,22,5,10,9,15,4,4,14
Unincorporated - Hawthorne,33.910813,-118.330218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,4,2,2,0,0,0,1,1,1,0,1,1,1,0,1,0,2,0,3,0,2,0,5,0,1,0,0,0,0,1,0,2,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Unincorporated - Hi Vista,34.684663,-117.749368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorporated - Kagel/Lopez Canyons,34.30405,-118.367576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0,3,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Unincorporated - La Crescenta-Montrose,34.233897,-118.237162,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,-1,1,1,0,1,0,0,2,1,0,3,0,2,1,5,2,2,1,0,0,4,0,2,1,1,1,1,2,3,1,1,4,4,2,0,4,2,7,1,0,5,0,4,0,8,-1,3,1,0,1,0,0,2,0,1,3,0,1,0,3,4,2,0,1,1,3,0,3,0,1,2,1,1,3,3,2,1,2,3,4,1,3,3,1,1,1,0,-1,1,3,4,1,-1,5,2,0,3,2,2,0,1,-1,2,4,0,-1,1,1,0,1,3,0,0,1,3,0,1,0,1,0,0,1,1,3,1,2,1,2,2,6,3,0,0,3,0,1,1,2,2,2,2,2,3,2,2,3,1,1,2
Unincorporated - La Habra Heights,33.947493,-117.959732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Unincorporated - La Rambla,33.739973,-118.30164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,17,0,0,1,1,1,2,7,0,1,0,2,1,1,0,1,5,0,2,0,2,1,0,1,2,0,0,0,5,0,2,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,-4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Unincorporated - La Verne,34.146242,-117.747243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0
Unincorporated - Ladera Heights,33.997223,-118.374147,0,0,0,0,0,0,0,0,5,0,1,1,1,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,1,2,2,4,0,1,0,2,1,1,2,0,1,2,1,0,1,0,1,2,2,1,0,2,1,0,1,0,1,1,3,5,0,1,1,0,1,0,0,3,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0,0,0,0,0,2,0,1,1,2,0,1,0,1
