,City/Community,Latitude,Longitude,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,population
260,Unincorporated - Franklin Canyon,34.107184,-118.413671,1,8333,4845,0,0,0,12
261,Unincorporated - Glendora,34.159997,-117.844191,69,10455,10929,3,455,237,660
262,Unincorporated - Hacienda Heights,34.000117,-117.977849,5259,9403,9467,100,179,123,55926
263,Unincorporated - Hawthorne,33.910813,-118.330218,322,12808,12615,3,119,126,2514
264,Unincorporated - Hi Vista,34.684663,-117.749368,45,4098,4630,0,0,0,1098
265,Unincorporated - Kagel/Lopez Canyons,34.30405,-118.367576,272,19263,21990,2,142,144,1412
266,Unincorporated - La Crescenta-Montrose,34.233897,-118.237162,1129,5702,6019,15,76,63,19801
267,Unincorporated - La Habra Heights,33.947493,-117.959732,16,2367,3065,1,148,88,676
268,Unincorporated - La Rambla,33.739973,-118.30164,274,13205,12245,21,1012,721,2075
269,Unincorporated - La Verne,34.146242,-117.747243,167,8186,8714,1,49,34,2040
270,Unincorporated - Ladera Heights,33.997223,-118.374147,402,5685,5925,10,141,66,7071
271,Unincorporated - Lake Hughes,34.672083,-118.43159,42,6287,6758,1,150,517,668
272,Unincorporated - Lake Los Angeles,34.621087,-117.859916,1602,12329,12682,18,139,155,12994
273,Unincorporated - Lake Manor,34.238119,-118.651061,131,7973,8998,2,122,88,1643
274,Unincorporated - Lennox,33.938082,-118.358648,3566,15819,15809,53,235,361,22542
275,Unincorporated - Leona Valley,34.625652,-118.308496,114,6511,8305,1,57,39,1751
276,Unincorporated - Littlerock,34.531805,-117.978906,539,13405,13440,7,174,156,4021
277,Unincorporated - Littlerock/Juniper Hills,34.460892,-117.924379,126,9715,10760,2,154,69,1297
278,Unincorporated - Littlerock/Pearblossom,34.533074,-117.894544,536,15018,15315,11,308,344,3569
279,Unincorporated - Llano,34.489897,-117.750089,41,4675,4894,1,114,60,877
280,Unincorporated - Marina del Rey,33.976415,-118.447398,400,4250,3646,4,43,39,9411
281,Unincorporated - Monrovia,34.12181,-118.003093,378,9740,9617,0,0,0,3881
282,Unincorporated - Newhall,34.345823,-118.524402,69,31364,32536,1,455,228,220
283,Unincorporated - North Lancaster,34.776192,-118.164928,163,13606,14088,2,167,94,1198
284,Unincorporated - North Whittier,34.036907,-118.005945,1121,13409,13260,28,335,281,8360
285,Unincorporated - Northeast San Gabriel,34.118447,-118.082372,1636,6806,6898,41,171,137,24036
286,Unincorporated - Palmdale,34.610872,-118.013818,111,13183,13860,4,475,475,842
287,Unincorporated - Palos Verdes Peninsula,33.783326,-118.344296,23,3704,4927,0,0,0,621
288,Unincorporated - Pearblossom/Llano,34.490978,-117.898461,129,6595,7438,1,51,20,1956
289,Unincorporated - Pellissier Village,34.035105,-118.030169,170,27464,27441,1,162,128,619
290,Unincorporated - Placerita Canyon,34.381746,-118.473213,3,652,824,0,0,0,460
291,Unincorporated - Pomona,34.057073,-117.822804,61,3148,7537,2,103,253,1938
292,Unincorporated - Quartz Hill,34.65065,-118.216515,1229,9523,9597,20,155,112,12906
293,Unincorporated - Rancho Dominguez,33.858588,-118.218347,388,14581,15839,5,188,119,2661
294,Unincorporated - Roosevelt,34.72856,-117.961328,93,9989,11057,0,0,0,931
295,Unincorporated - Rosewood,33.904733,-118.250286,165,12830,13595,4,311,242,1286
296,Unincorporated - Rosewood/East Gardena,33.893832,-118.274025,154,12909,13777,6,503,350,1193
297,Unincorporated - Rosewood/West Rancho Dominguez,33.898481,-118.261341,509,15144,14860,13,387,330,3361
298,Unincorporated - Rowland Heights,33.988423,-117.905457,3666,7185,7201,79,155,114,51022
299,Unincorporated - San Francisquito Canyon/Bouquet C,34.531371,-118.436065,15,1748,2357,0,0,0,858
300,Unincorporated - San Jose Hills,34.011338,-117.902657,3514,17378,17182,72,356,384,20221
301,Unincorporated - San Pasqual,34.139208,-118.102508,39,1916,2053,0,0,0,2035
302,Unincorporated - Sand Canyon,34.399939,-118.402092,17,5519,15606,0,0,0,308
303,Unincorporated - Santa Catalina Island,33.371439,-118.418922,164,61423,73704,2,749,1010,267
304,Unincorporated - Santa Monica Mountains,34.081372,-118.741676,719,3861,4349,13,70,71,18621
305,Unincorporated - Saugus,34.476703,-118.475785,132,85161,80859,0,0,0,155
306,Unincorporated - Saugus/Canyon Country,34.474829,-118.42355,40,11236,21386,1,281,353,356
307,Unincorporated - South Antelope Valley,34.506009,-118.090201,28,6154,6941,0,0,0,455
308,Unincorporated - South El Monte,34.04168,-118.027003,348,19387,18820,5,279,367,1795
309,Unincorporated - South San Gabriel,34.04654,-118.089542,942,10646,10069,45,509,325,8848
310,Unincorporated - South Whittier,33.933263,-118.031039,8445,14260,13979,152,257,273,59222
311,Unincorporated - Southeast Antelope Valley,34.523981,-118.02838,79,10115,10767,0,0,0,781
312,Unincorporated - Stevenson Ranch,34.365704,-118.591988,1173,5595,5482,6,29,37,20966
313,Unincorporated - Sun Village,34.571849,-117.937975,955,15822,16230,14,232,268,6036
314,Unincorporated - Sunrise Village,34.010443,-118.060595,195,15046,15604,1,77,63,1296
315,Unincorporated - Twin Lakes/Oat Mountain,34.312952,-118.615373,95,5730,5784,3,181,187,1658
316,Unincorporated - Val Verde,34.443295,-118.678544,339,10245,10012,1,30,50,3309
317,Unincorporated - Valencia,34.469311,-118.559974,199,6478,8107,1,33,23,3072
