County,Latitude,Longitude,Population,Cumulative Cases,Cumulative Case Rate,14-day Case Rate,Daily New Cases,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21
San Luis Obispo,35.38822029,-120.4039028,"283,111","11,467","4,050.35",946.27,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7,13,16,21,27,27,42,46,54,59,67,67,71,80,80,89,93,93,95,95,95,99,102,104,110,114,117,117,120,125,127,131,132,132,134,134,149,163,165,166,169,173,181,184,188,196,201,202,204,208,211,211,214,220,226,227,232,237,240,243,243,246,247,249,251,253,259,258,259,263,263,268,269,269,269,271,278,279,288,291,291,291,299,302,306,317,324,324,324,347,356,376,389,404,404,404,442,453,473,489,508,508,508,567,611,642,675,701,701,701,765,808,845,877,905,905,905,1006,1078,1112,1158,1213,1213,1213,1306,1369,1393,1467,1500,1500,1500,1644,1644,1710,1740,1783,1783,1783,1902,1926,1970,2047,2047,2093,2093,2254,2278,2300,2324,2439,2439,2439,2562,2571,2579,2579,2613,2665,2665,2679,2735,2769,2792,2842,2882,2917,2981,2981,3006,3035,3047,3074,3083,3101,3116,3145,3171,3194,3222,3222,3240,3278,3293,3316,3332,3360,3369,3393,3438,3453,3479,3510,3544,3546,3562,3597,3612,3629,3649,3685,3685,3688,3742,3755,3779,3815,3842,3842,3874,3874,3924,3933,3969,3985,3985,4009,4049,4080,4092,4121,4141,4141,4141,4174,4191,4240,4265,4298,4298,4303,4342,4380,4422,4496,4568,4668,4698,4794,4846,4846,4972,5038,5073,5120,5250,5321,5400,5486,5607,5618,5664,5811,5885,5956,5964,6129,6129,6145,6311,6345,6378,6459,6540,6623,6723,6873,6965,7105,7267,7452,7462,7625,7791,8074,8252,8365,8598,8788,8881,9006,9174,9303,9504,9749,9945,10154,10260,10387,10490,10846,11160,11467
San Mateo,37.4228808,-122.32755459999998,"766,573","25,483","3,324.28",652.78,442,0,1,2,2,2,2,2,2,2,8,15,20,20,32,32,41,64,80,89,100,110,117,142,161,165,195,239,274,277,309,309,388,453,486,538,555,579,589,617,633,638,652,652,701,721,747,767,797,838,838,920,935,958,966,989,1019,1019,1080,1099,1136,1177,1197,1233,1233,1281,1315,1341,1377,1397,1425,1425,1464,1497,1515,1536,1575,1602,1602,1671,1687,1697,1738,1783,1833,1833,1833,1904,1963,2022,2061,2104,2104,2165,2188,2212,2244,2299,2330,2330,2394,2437,2475,2494,2533,2533,2553,2594,2625,2653,2678,2721,2721,2721,2825,2901,2961,2996,3049,3083,3083,3141,3232,3311,3376,3441,3536,3536,3599,3692,3743,3787,3846,3949,3949,4045,4168,4254,4333,4403,4465,4465,4551,4674,4776,4885,4957,5022,5022,5124,5198,5306,5398,5469,5544,5544,5683,5744,5758,5891,5978,6110,6110,6318,6431,6535,6640,6803,6952,6952,7150,7228,7321,7382,7472,7535,7535,7670,7788,7849,7911,7978,8074,8074,8169,8260,8311,8390,8452,8617,8617,8617,8750,8807,8895,8966,9077,9077,9166,9242,9264,9332,9332,9522,9522,9598,9625,9664,9714,9785,9843,9843,9897,9950,9990,10069,10126,10207,10207,10275,10309,10347,10395,10452,10510,10510,10510,10601,10622,10655,10687,10743,10743,10810,10889,10918,10961,11002,11075,11075,11149,11198,11232,11278,11341,11371,11371,11451,11479,11564,11629,11710,11810,11810,11937,12049,12127,12127,12332,12465,12465,12565,12684,12780,12878,12988,13203,13203,13334,13561,13707,13707,13715,14148,14148,14458,14614,14812,15040,15217,15468,15512,16101,16371,16666,16884,17176,17724,17724,18584,18875,19330,19645,20089,20479,20479,21160,21558,21913,22241,22241,22568,22908,23681,23916,24246,24589,24589,25041,25483
Santa Barbara,34.65329488,-120.0188492,"446,499","18,135","4,061.60",776.71,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,9,9,13,18,18,24,26,32,47,64,68,88,99,111,139,152,168,174,192,218,228,243,260,264,267,284,313,334,354,373,385,394,416,429,451,460,469,469,471,473,485,485,506,506,514,514,526,613,613,722,1250,1250,1362,1371,1371,1387,1387,1418,1474,1474,1517,1520,1520,1540,1551,1551,1551,1551,1604,1636,1636,1649,1649,1649,1669,1697,1714,1737,1787,1787,1817,1817,1864,1910,1910,1971,1971,2069,2115,2115,2253,2319,2319,2319,2446,2509,2590,2631,2742,2712,2712,2896,2896,2896,3261,3261,3261,3261,3261,3742,3808,3868,3868,3931,3931,3931,4323,4412,4635,4759,4759,4759,4991,5124,5282,5444,5576,5576,5576,5576,5633,6021,6094,6167,6167,6167,6167,6526,6526,6652,6652,6704,6704,6704,6996,7074,7083,7274,7274,7274,7274,7454,7508,7508,7578,7653,7685,7725,7800,7869,7916,7951,8014,8052,8143,8143,8164,8229,8300,8361,8404,8434,8479,8499,8550,8579,8608,8642,8690,8718,8741,8785,8803,8846,8862,8880,8930,8952,8973,9003,9037,9061,9090,9133,9164,9197,9223,9249,9256,9276,9319,9340,9363,9387,9408,9417,9440,9475,9503,9520,9540,9560,9588,9608,9641,9671,9688,9715,9760,9781,9814,9827,9874,9886,9919,9944,9957,9969,9992,10016,10042,10089,10128,10157,10180,10230,10260,10278,10339,10415,10482,10516,10577,10612,10702,10768,10839,10922,10946,10944,11166,11205,11277,11340,11481,11520,11602,11631,11720,11845,11947,12107,12252,12379,12516,12636,12808,12997,13174,13249,13587,13782,13966,14207,14376,14667,14817,14988,15198,15417,15657,15936,16159,16364,16579,16797,17025,17434,17759,18135
Santa Clara,37.23104908,-121.6970462,"1,927,852","74,359","3,857.09",934.98,866,3,9,11,11,20,20,32,38,38,43,48,52,79,95,91,138,155,175,189,196,263,263,302,375,459,542,574,591,646,848,890,956,1019,1019,1148,1207,1207,1285,1380,1380,1442,1484,1566,1666,1666,1793,1833,1870,1870,1870,1922,1922,1962,1987,2018,2040,2084,2105,2122,2134,2163,2179,2205,2231,2244,2255,2268,2281,2290,2307,2339,2341,2362,2364,2391,2391,2418,2453,2453,2483,2492,2492,2492,2571,2617,2652,2675,2688,2701,2707,2731,2776,2776,2819,2832,2850,2892,2920,2942,2973,3017,3032,3063,3117,3157,3197,3230,3254,3288,3363,3398,3458,3547,3606,3727,3832,3888,3984,3984,4162,4265,4370,4572,4750,4849,5077,5273,5408,5478,5552,5678,5863,5983,6298,6542,6725,6951,7046,7131,7300,7456,7795,8046,8321,8533,8719,8833,9041,9215,9215,9612,9731,9913,10321,10626,10794,11030,11030,11336,11336,11475,11687,12694,12962,12962,13059,13865,13865,14207,14429,14636,15085,15258,15496,15496,15688,16151,16151,16306,16393,16607,17013,17013,17349,17349,17802,17993,18190,18190,18611,18611,18717,18854,18854,19143,19417,19549,19613,19683,19760,19891,20129,20252,20410,20511,20587,20648,20756,20882,21030,21153,21241,21294,21379,21457,21605,21734,21840,21926,21978,22056,22154,22312,22419,22555,22644,22741,22801,22859,22974,23052,23224,23355,23458,23591,23679,23881,24014,24144,24313,24425,24558,24665,24867,24986,25139,25277,25421,25543,25705,25883,26137,26490,26747,26972,27124,27299,27648,27977,28307,28686,29023,29297,29631,30025,30411,30676,31103,31603,32049,32454,32985,33732,34292,35085,35457,35945,36673,37517,38388,39193,40624,41316,43001,44039,45178,45986,48015,49216,50315,51233,52414,53885,54905,56334,57452,58637,59923,61090,61742,63302,64974,66270,67423,67581,69879,71755,73493,74359
Santa Cruz,37.05580291,-122.0066524,"273,213","9,340","3,418.58",836.71,194,0,0,0,0,0,0,0,0,0,2,2,4,7,7,7,9,13,13,14,15,15,15,22,22,24,25,32,34,41,44,45,49,54,57,59,69,69,76,76,76,80,80,88,91,91,96,96,98,101,104,106,108,111,114,115,115,120,124,125,127,131,132,134,137,137,138,138,139,140,141,141,141,146,146,149,149,157,159,163,165,168,174,186,192,192,200,200,205,206,206,212,213,217,217,219,219,221,226,231,234,235,239,249,254,255,257,257,260,269,273,283,286,296,296,322,330,337,344,349,349,349,379,399,410,417,455,457,459,501,503,506,537,568,569,569,600,602,706,736,772,772,772,830,848,878,885,898,907,920,980,1030,1076,1109,1152,1152,1152,1196,1196,1213,1229,1238,1238,1243,1287,1316,1357,1371,1420,1454,1454,1505,1546,1569,1605,1617,1628,1636,1698,1714,1726,1734,1747,1746,1744,1744,1755,1878,1896,1923,1931,1931,1931,1931,1993,2013,2021,2043,2043,2065,2096,2108,2175,2189,2218,2218,2276,2283,2294,2319,2330,2358,2360,2379,2394,2423,2427,2481,2494,2501,2519,2527,2535,2552,2563,2589,2595,2605,2618,2633,2670,2682,2696,2706,2722,2725,2744,2753,2771,2788,2802,2808,2821,2848,2861,2884,2895,2921,2964,2980,3007,3031,3074,3130,3134,3221,3227,3247,3329,3356,3402,3439,3542,3557,3628,3685,3819,3898,3896,4003,4132,4202,4269,4358,4426,4490,4558,4638,4766,4850,4985,4997,5069,5157,5374,5527,5645,5764,5905,5986,6049,6361,6536,6687,6838,7054,7178,7315,7471,7637,7856,8018,8113,8234,8310,8492,8573,8909,9146,9340
Shasta,40.76391419,-122.0396884,"180,080","8,154","4,527.99",518.10,52,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,6,7,7,11,12,17,20,21,23,24,24,24,24,24,25,25,25,26,26,26,26,26,26,28,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,33,33,33,34,34,34,34,34,34,36,36,36,36,37,37,37,37,39,39,39,40,40,42,42,42,46,46,47,48,48,49,50,51,51,51,62,76,80,81,86,88,92,96,97,101,105,112,112,129,135,135,148,154,154,163,171,176,176,187,195,200,203,215,220,227,227,242,242,255,268,276,291,291,291,311,323,348,360,369,369,369,390,397,404,411,411,418,418,459,469,469,476,488,488,488,488,511,515,521,531,531,531,531,553,554,557,562,562,562,570,572,575,578,581,581,581,581,600,606,611,612,612,612,612,645,652,661,668,668,687,709,724,751,759,777,806,856,883,883,943,976,991,1046,1117,1158,1158,1242,1268,1343,1353,1473,1515,1597,1623,1640,1666,1666,1679,1723,1786,1786,1839,1839,1846,1878,1889,1954,1962,1999,2046,2048,2122,2172,2284,2288,2375,2452,2475,2547,2630,2741,2741,2816,2980,2983,3195,3298,3483,3483,3570,3897,3897,4095,4100,4470,4601,4601,4718,4718,4882,4963,5132,5187,5365,5490,5490,5653,5824,6055,6135,6375,6853,6853,6853,6777,6927,6927,7000,7121,7121,7221,7290,7299,7567,7567,7567,7612,7641,7792,7918,7782,8060,8060,8102,8154
Sierra,39.57713498,-120.52007009999998,"3,005",47,"1,564.06",499.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,10,11,11,11,11,11,11,15,15,15,17,17,17,17,19,19,19,19,19,19,19,23,23,23,23,24,24,24,24,25,25,25,19,27,27,31,32,32,32,32,32,32,34,34,34,34,34,34,34,38,41,42,47,47,47
Siskiyou,41.59198861,-122.5407434,"43,539","1,176","2,701.03",360.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,12,12,13,14,14,14,15,16,18,20,20,21,21,22,23,24,25,26,26,26,27,27,28,28,31,31,31,31,31,32,32,33,33,41,41,41,41,43,43,44,44,44,44,50,53,55,60,60,61,61,65,66,67,72,72,73,73,73,88,88,90,92,93,93,102,102,106,109,111,111,111,113,114,114,114,115,123,123,123,124,125,126,127,128,128,137,137,138,140,143,144,137,144,144,150,150,154,155,155,155,156,158,159,160,161,161,161,163,163,163,165,165,165,165,165,166,166,166,167,167,167,171,171,172,173,179,179,179,182,182,183,183,184,184,184,185,186,187,188,193,193,193,205,205,214,221,241,241,241,268,272,278,287,292,292,292,314,321,321,349,372,372,372,403,429,436,466,495,495,495,565,582,624,624,624,624,624,722,737,752,752,786,786,786,828,851,863,900,914,914,914,950,967,993,1001,1019,1019,1019,1059,1067,1076,1076,1076,1076,1076,1111,1132,1146,1176,1176,1176
Solano,38.26827353,-121.9357113,"447,643","19,805","4,424.28","1,027.83",412,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,7,7,8,8,13,13,13,14,21,24,31,34,34,34,34,43,49,54,61,73,73,73,88,99,112,115,121,121,121,135,140,141,169,169,169,180,180,181,191,199,199,199,199,249,254,263,266,266,266,267,320,337,337,342,351,351,379,388,388,408,408,410,410,410,430,435,435,449,455,455,455,455,499,509,509,517,517,517,546,547,559,565,566,566,590,590,617,643,643,657,657,685,687,687,811,860,860,860,933,1020,1064,1094,1118,1118,1118,1126,1126,1402,1476,1476,1476,1476,1476,1826,1922,1985,2075,2075,2075,2075,2313,2407,2483,2554,2554,2554,2759,2857,2982,3070,3129,3129,3129,3129,3283,3462,3520,3611,3611,3611,3611,3806,3806,3959,3959,4029,4029,4274,4274,4338,4414,4596,4596,4596,4596,4767,4943,5006,5048,5048,5048,5206,5231,5280,5328,5388,5388,5388,5512,5547,5588,5631,5671,5671,5671,5671,5762,5778,5805,5820,5820,5820,5937,5987,6007,6054,6085,6085,6085,6175,6194,6232,6278,6309,6309,6309,6400,6419,6445,6475,6520,6520,6520,6601,6624,6658,6708,6750,6750,6750,6750,6876,6908,6951,7009,7009,7009,7117,7171,7205,7249,7286,7286,7286,7384,7445,7480,7586,7634,7634,7634,7801,7849,7940,7996,8132,8132,8132,8366,8430,8430,8596,8729,8729,8729,8959,9088,9161,9291,9349,9349,9349,9363,9745,10036,10036,10036,10044,10252,10648,10731,10957,11119,11413,11413,11413,11747,11950,12123,12533,12733,12733,12748,13734,13897,14269,14713,15008,15008,15204,16224,16568,16844,17330,17330,17330,17528,18518,18726,19008,19211,19211,19393,19805
Sonoma,38.52746429,-122.8862506,"494,336","19,761","3,997.48",648.95,248,0,1,1,1,1,1,1,1,3,3,3,3,3,1,2,5,4,8,6,9,22,22,29,29,34,37,44,50,58,58,73,78,91,95,105,107,111,111,120,136,142,145,145,147,152,160,163,172,180,180,181,182,192,194,217,217,218,220,222,228,232,244,248,252,257,261,272,286,292,300,309,309,312,333,337,351,364,373,387,391,411,433,444,467,482,500,515,524,530,531,548,553,564,566,579,593,610,624,642,653,664,671,680,701,722,752,758,765,774,803,822,835,853,885,935,956,974,1006,1006,1092,1118,1136,1185,1229,1267,1359,1359,1359,1466,1487,1519,1561,1650,1703,1819,1886,1941,1979,2027,2068,2121,2169,2212,2241,2300,2404,2466,2599,2599,2617,2662,2748,2842,2944,3055,3113,3113,3208,3208,3358,3431,3556,3670,3753,3825,3859,4063,4157,4293,4377,4465,4779,4863,4942,5067,5120,5212,5351,5422,5469,5588,5654,5654,5718,5917,6067,6142,6142,6142,6303,6360,6488,6516,6561,6623,6666,6701,6701,6777,6777,6827,6987,6998,7060,7112,7160,7225,7262,7320,7369,7412,7412,7412,7578,7578,7668,7752,7861,7940,8037,8083,8155,8270,8352,8422,8500,8558,8615,8684,8717,8810,8810,8934,9016,9016,9099,9163,9163,9312,9402,9494,9569,9601,9646,9686,9686,9866,9953,10041,10116,10170,10248,10248,10424,10505,10606,10679,10679,10747,10845,11055,11133,11169,11316,11316,11363,11428,11486,11608,11712,11846,11922,12049,12198,12319,12319,12662,12795,12923,13098,13369,13439,13719,13719,13994,14282,14298,14705,14705,14859,15406,15768,16024,16261,16553,16802,17075,17444,17723,17723,18035,18539,18539,18667,18872,18992,19129,19513,19761
Stanislaus,37.55862499,-120.9970722,"550,660","35,800","6,501.29","1,054.73",329,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,5,5,5,5,5,8,11,12,13,17,23,29,31,33,39,44,51,58,65,71,81,90,95,103,116,121,131,146,163,177,187,206,221,226,232,236,251,264,264,286,294,312,339,339,380,380,411,411,428,461,461,476,488,496,508,517,517,537,537,559,571,571,593,598,598,611,621,629,646,659,670,683,683,699,744,744,750,767,792,816,840,865,937,937,1023,1072,1072,1110,1212,1242,1267,1267,1322,1473,1514,1599,1639,1714,1789,1871,1940,2000,2115,2165,2165,2310,2391,2391,2531,2660,2660,2889,3004,4364,4364,4633,4732,4973,5356,5517,5777,6077,6077,6344,6508,6835,6984,7401,7603,7603,7861,7994,8228,8492,8745,8890,8890,9061,9221,9308,9308,9408,9408,9566,9665,10264,10264,10855,11592,11953,11953,12379,12541,12668,12935,13084,13120,13282,13380,13483,13521,13886,14101,14257,14482,14544,14710,14786,14902,15021,15162,15277,15382,15441,15635,15685,15749,15838,15926,15976,15976,16052,16052,16150,16229,16289,16319,16351,16398,16425,16436,16452,16452,16452,16471,16496,16512,16573,16628,16703,16737,16759,16767,16804,16886,16950,17002,17038,17076,17087,17130,17160,17198,17244,17292,17341,17354,17403,17455,17509,17572,17629,17686,17714,17760,17814,17872,17928,17979,18027,18076,18134,18204,18286,18368,18386,18549,18614,18711,18852,18992,19144,19276,19397,19510,19658,19802,19964,20144,20370,20658,20932,21145,21145,21460,21585,21714,22162,22399,22624,22876,23274,23763,24047,24461,24807,25271,25675,25936,26361,26744,27398,27798,28266,28667,29040,29533,29992,30549,31106,31568,31914,31914,32881,33148,33623,33899,34141,34465,34465,35471,35800
Sutter,39.03417539,-121.6945899,"96,971","6,621","6,827.81","1,105.49",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,6,9,10,14,14,16,16,16,16,19,20,37,37,37,37,23,24,24,24,25,25,26,26,26,44,44,44,45,45,29,30,30,31,31,31,31,31,31,31,31,32,33,34,34,35,37,37,37,38,40,40,40,40,40,40,40,40,42,42,42,42,43,46,46,46,46,48,51,55,55,65,65,67,69,69,83,86,88,89,89,97,99,101,101,161,125,127,140,147,152,160,176,176,197,206,206,243,252,252,275,323,337,337,372,388,403,441,441,471,491,491,520,539,553,553,567,601,615,637,647,670,731,731,755,768,786,797,840,840,893,893,921,942,952,996,1019,1041,1091,1091,1094,1137,1157,1186,1186,1213,1223,1223,1260,1283,1312,1325,1347,1368,1368,1409,1409,1436,1436,1461,1465,1445,1465,1468,1526,1530,1542,1564,1564,1564,1599,1608,1621,1631,1642,1642,1642,1679,1686,1689,1696,1705,1705,1705,1717,1720,1726,1733,1748,1748,1748,1763,1767,1770,1771,1775,1775,1775,1782,1785,1785,1793,1796,1796,1796,1819,1821,1830,1837,1837,1837,1837,1865,1878,1889,1897,1912,1912,1912,1938,1951,1964,1977,1992,1992,1992,2067,2089,2089,2110,2134,2185,2230,2399,2456,2521,2601,2638,2638,2677,2948,3057,3144,3144,3144,3332,3332,3565,3637,3733,3810,3915,3937,4009,4234,4435,4502,4574,4657,4717,4798,5051,5117,5290,5369,5449,5549,5601,5774,5863,5930,6037,6051,6121,6218,6290,6341,6411,6505,6553,6621
Tehama,40.12570935,-122.2370171,"65,084","3,344","5,137.98",926.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,6,6,7,8,8,9,11,12,12,20,21,21,27,28,28,32,34,34,34,53,54,59,62,62,62,62,75,75,82,88,88,88,88,88,94,98,98,98,104,107,107,121,126,126,134,134,134,151,151,165,173,189,189,189,189,214,219,227,227,234,234,234,246,249,271,271,276,276,276,303,304,305,312,318,318,318,330,340,342,352,357,368,381,388,394,402,402,410,417,419,421,422,429,436,442,447,455,453,458,458,466,466,471,476,475,484,485,487,490,498,509,513,529,533,540,546,560,573,579,585,594,606,619,630,637,642,660,666,676,682,693,702,708,717,722,726,737,764,774,793,793,824,852,862,872,880,892,913,921,925,932,953,965,971,988,997,1015,1024,1043,1054,1071,1099,1105,1117,1167,1206,1222,1261,1290,1338,1377,1410,1435,1457,1526,1565,1587,1612,1649,1678,1710,1724,1773,1800,1832,1886,1945,1982,2030,2112,2148,2240,2316,2357,2357,2357,2472,2557,2627,2688,2741,2741,2741,2872,2917,2967,3017,3017,3017,3017,3222,3253,3292,3344,3344
Trinity,40.64917670000001,-123.114713,"12,285",276,"2,246.64",203.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,8,8,8,8,8,8,8,8,8,10,10,10,10,11,11,11,13,13,13,13,13,13,13,13,13,13,14,14,15,16,15,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,23,25,26,26,26,25,25,20,20,20,21,21,20,20,20,23,23,25,25,26,26,25,26,27,28,28,28,33,33,33,35,37,40,41,43,43,46,62,62,62,65,68,68,68,83,98,103,106,113,113,114,124,136,139,139,158,158,159,164,168,170,177,186,186,186,207,217,217,220,225,225,225,231,235,240,245,251,251,251,262,262,265,265,265,265,265,269,271,272,276,276,276
