County,Latitude,Longitude,Population,Cumulative Deaths,Cumulative Death Rate,Daily New Deaths,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21
Sierra,39.57713498,-120.52007009999998,3005,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,41.59198861,-122.54074340000001,43539,11,25.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,5,5,5,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11
Solano,38.26827353,-121.9357113,447643,102,22.79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,7,10,11,11,14,14,16,16,16,16,18,18,19,20,20,20,20,20,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,25,25,25,25,25,25,27,27,27,28,28,28,28,31,31,31,31,31,31,34,35,35,35,35,35,35,35,36,37,37,37,37,37,37,38,38,39,39,40,40,41,41,41,41,41,41,41,41,41,44,44,44,44,44,46,46,46,46,46,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,50,52,52,55,55,55,55,55,57,60,63,63,63,63,65,69,71,71,71,71,71,72,72,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,76,76,76,76,76,76,76,76,76,76,76,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,81,85,85,85,85,90,90,91,91,91,91,91,91,93,93,93,93,93,94,94,95,95,95,95,95,95,98,98,98,98,98,98,100,102
Sonoma,38.52746429,-122.88625060000001,494336,204,41.27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,7,7,9,10,11,11,11,12,14,14,14,14,16,16,16,16,16,19,19,19,20,20,22,22,24,24,24,24,24,31,31,32,37,37,39,39,42,42,44,47,47,47,50,51,51,51,51,54,57,57,65,70,70,72,72,73,75,75,78,78,78,78,80,83,89,93,93,93,93,93,98,98,105,108,108,108,108,110,110,114,114,114,114,114,120,120,120,120,122,122,122,122,122,122,122,122,122,122,122,126,126,126,126,128,128,128,128,128,129,129,129,129,134,134,134,134,134,136,136,136,136,136,136,136,136,142,142,142,146,146,146,146,146,149,149,149,149,149,149,150,150,150,150,155,155,155,155,155,157,157,157,157,157,157,157,160,160,160,160,160,160,160,160,162,162,162,162,164,166,166,166,172,174,174,174,177,180,181,181,181,182,182,182,184,190,192,196,196,196,204
Stanislaus,37.55862499,-120.9970722,550660,638,115.86,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,7,11,11,13,13,14,14,15,17,17,19,19,20,21,22,22,23,23,24,24,24,26,26,26,28,28,28,28,28,28,28,28,28,29,29,29,30,30,31,31,33,33,33,33,33,33,34,34,35,35,35,35,35,35,35,37,37,38,38,38,41,41,42,42,44,44,44,44,45,45,45,50,50,50,51,51,51,57,61,61,63,63,63,71,73,77,79,86,86,87,90,95,103,104,104,104,110,112,135,135,151,151,161,162,169,169,177,182,195,195,198,198,200,212,223,226,228,229,232,237,240,245,253,255,255,258,262,267,273,282,282,289,290,295,299,303,310,310,310,310,317,317,325,329,332,335,337,339,342,345,348,351,354,356,359,362,365,368,370,372,374,377,379,381,383,384,385,386,387,388,389,391,391,391,392,393,394,395,396,396,396,397,398,399,400,401,401,401,402,403,404,405,407,407,407,408,409,410,410,411,411,411,412,413,413,415,416,416,416,418,420,422,422,424,424,424,426,426,430,433,436,436,439,446,450,454,458,463,468,473,478,483,490,499,509,517,523,533,544,556,565,565,572,578,586,596,608,616,616,624,624,631,638
Sutter,39.03417539,-121.6945899,96971,54,55.69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,15,15,15,15,16,16,17,19,19,19,20,20,20,25,26,30,31,33,33,33,37,38,39,42,43,43,43,45,46,46,46,46,46,46,49,49,50,52,52,52,52,54
Tehama,40.12570935,-122.23701709999999,65084,37,56.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,14,14,14,15,15,17,17,19,19,19,19,19,19,19,19,19,19,19,19,23,23,23,23,23,25,25,25,25,25,25,25,26,26,26,26,28,28,28,29,30,30,30,30,30,30,31,31,31,32,32,32,32,32,33,34,34,34,34,34,34,36,36,37,37,37,37
Trinity,40.64917670000001,-123.114713,12285,4,32.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4
Tulare,36.22026558,-118.8020203,466195,419,89.88,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,5,6,7,7,9,11,11,11,13,13,15,17,17,17,17,18,18,25,25,28,32,32,32,35,36,40,40,40,40,40,40,41,43,44,46,48,50,52,54,54,64,67,67,67,71,73,74,75,75,75,75,79,79,80,84,84,84,89,89,90,92,92,92,92,94,94,96,98,98,98,98,98,98,106,107,111,111,111,113,116,118,119,122,122,122,124,126,128,133,136,136,136,136,139,148,148,152,152,152,152,153,153,161,165,165,165,167,168,168,168,168,168,168,172,173,173,173,178,178,178,189,193,193,196,196,196,196,196,198,205,205,205,205,205,206,206,208,208,208,210,210,210,216,216,224,229,232,232,233,233,234,240,243,243,243,243,243,246,246,246,247,247,247,251,253,255,256,256,256,256,256,257,259,259,263,263,263,263,263,263,263,265,265,265,265,265,267,269,269,269,269,269,269,273,274,275,275,275,276,279,282,284,286,286,286,288,288,291,292,293,293,293,295,295,297,297,297,297,297,299,299,299,299,300,300,300,300,301,301,303,303,303,303,304,305,308,308,308,308,308,312,312,314,315,317,317,317,317,319,323,326,327,327,327,330,332,339,346,353,353,353,354,360,373,373,373,373,373,386,389,399,406,406,406,406,419
Tuolumne,38.02644018,-119.95250929999999,54478,22,40.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,11,11,12,12,13,14,14,15,16,17,17,17,19,19,19,19,19,19,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,22
Ventura,34.44465746,-119.09106129999999,846006,289,34.16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,5,5,6,6,6,6,6,7,7,10,10,10,10,10,13,13,13,13,13,13,13,13,16,16,16,16,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,24,25,25,25,25,25,25,28,29,29,30,30,30,30,32,32,32,33,33,34,34,34,35,35,35,35,35,35,38,38,40,40,40,41,41,41,41,42,42,42,43,43,43,44,44,44,44,45,45,46,47,47,47,47,50,50,50,53,53,53,53,53,53,56,56,56,57,57,57,62,63,63,67,67,67,67,70,73,74,76,76,76,76,77,77,79,82,89,89,92,93,93,93,95,95,95,95,96,98,98,101,102,102,102,103,105,107,110,115,115,116,116,116,116,116,118,118,118,118,123,126,129,129,129,129,135,138,141,142,143,143,143,146,146,146,147,150,150,150,150,150,152,152,153,153,153,154,154,157,157,158,158,158,158,158,158,159,160,160,160,160,160,160,162,164,164,164,165,165,166,166,166,166,166,167,167,167,169,169,169,169,171,171,171,171,172,172,172,173,173,173,174,174,174,174,175,175,175,175,175,175,175,183,185,185,187,188,188,188,189,195,197,197,198,198,198,199,201,204,207,210,210,210,210,216,224,233,233,233,233,244,255,260,263,263,263,263,289
Yolo,38.68278902,-121.90182879999999,220500,123,55.78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,7,7,8,8,9,10,10,12,13,13,13,14,16,16,16,16,16,17,19,19,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,40,40,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,26,26,26,28,28,28,28,28,28,29,30,30,31,31,32,34,34,35,37,37,37,37,37,39,41,41,41,41,42,42,42,42,42,42,43,43,44,44,45,45,46,46,46,46,46,47,47,47,47,47,47,49,49,51,51,51,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,58,58,58,58,59,59,59,60,60,60,60,60,61,61,62,62,63,63,63,63,64,64,64,66,66,68,70,70,71,72,74,75,75,75,74,74,74,75,75,76,77,77,81,81,81,84,84,84,84,89,89,89,89,89,89,98,98,99,104,104,104,104,108,108,110,110,109,109,109,109,109,111,111,117,117,117,123
Yuba,39.26255932,-121.35356440000001,78668,21,26.69,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,10,10,10,10,13,14,14,14,15,15,15,15,16,17,17,17,17,17,18,18,18,19,19,19,19,21
