Long Beach	63059	1000
Pasadena	13030	359	
Unincorporated - Pellissier Village	189	30533	1	162
Unincorporated - Placerita Canyon	4	870	0	0
Unincorporated - Pomona	72	3715	2	103
Unincorporated - Quartz Hill	1528	11839	25	194
Unincorporated - Rancho Dominguez	467	17550	5	188
Unincorporated - Roosevelt	104	11171	0	0
Unincorporated - Rosewood	199	15474	5	389
Unincorporated - Rosewood/East Gardena	192	16094	6	503
Unincorporated - Rosewood/West Rancho Dominguez	589	17525	16	476
Unincorporated - Rowland Heights	4105	8046	80	157
Unincorporated - San Clemente Island	0	0	0	0
Unincorporated - San Francisquito Canyon/Bouquet Canyon	18	2098	0	0
Unincorporated - San Jose Hills	3839	18985	78	386
Unincorporated - San Pasqual	43	2113	0	0
Unincorporated - Sand Canyon	22	7143	0	0
Unincorporated - Santa Catalina Island	228	85393	2	749
Unincorporated - Santa Monica Mountains*	967	5193	17	91
Unincorporated - Saugus	160	103226	0	0
Unincorporated - Saugus/Canyon Country	47	13202	1	281
Unincorporated - South Antelope Valley	41	9011	0	0
Unincorporated - South El Monte	382	21281	6	334
Unincorporated - South San Gabriel	1032	11664	47	531
Unincorporated - South Whittier	9498	16038	161	272
Unincorporated - Southeast Antelope Valley	104	13316	0	0
Unincorporated - Stevenson Ranch	1606	7660	7	33
Unincorporated - Sun Village	1029	17048	14	232
Unincorporated - Sunrise Village	209	16127	1	77
Unincorporated - Twin Lakes/Oat Mountain	133	8022	4	241
Unincorporated - Val Verde	414	12511	2	60
Unincorporated - Valencia	264	8594	1	33
Unincorporated - Valinda	4231	18104	75	321
Unincorporated - View Park/Windsor Hills	972	8354	15	129
Unincorporated - Walnut Park	3329	20622	56	347
Unincorporated - West Antelope Valley	63	4169	1	66
Unincorporated - West Carson	2669	12085	142	643
Unincorporated - West Chatsworth	4	33333	0	0
Unincorporated - West LA	216	22689	17	1786
Unincorporated - West Puente Valley	1900	19319	26	264
Unincorporated - West Rancho Dominguez	226	16630	5	368
Unincorporated - West Whittier/Los Nietos	4780	17753	91	338
Unincorporated - Westfield/Academy Hills	59	4538	0	0
Unincorporated - Westhills	64	7628	0	0
Unincorporated - White Fence Farms	350	9503	4	109
Unincorporated - Whittier	364	9619	9	238
Unincorporated - Whittier Narrows	54	450000	1	8333
Unincorporated - Willowbrook	7684	22009	97	278
Unincorporated - Wiseburn	626	10387	12	199
- Under Investigation	16783		61	
